Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Complexity,Syllables,Source
ABORIGINALS,166,100,3.79E-09,5.82E-09,8.64E-07,87,0,0,0,0,0,0,0,0,5,12of12inf
ABORIGINE,167,5,1.90E-10,7.42E-10,5.05E-07,4,0,0,0,0,0,0,0,0,5,12of12inf
ABORIGINES,168,53,2.01E-09,3.06E-09,6.90E-07,41,0,0,0,0,0,0,0,0,5,12of12inf
ABORNING,169,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABORT,170,1115,4.23E-08,3.21E-08,2.39E-06,646,0,0,0,0,0,0,0,0,2,12of12inf
ABORTED,171,3775,1.43E-07,2.55E-07,1.12E-05,2405,0,0,0,0,0,0,0,0,3,12of12inf
ABORTING,172,76,2.88E-09,2.03E-09,4.89E-07,39,0,0,0,0,0,0,0,0,3,12of12inf
ABORTION,173,1046,3.96E-08,1.76E-08,1.26E-06,560,0,0,0,0,0,0,0,0,3,12of12inf
ABORTIONIST,174,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABORTIONISTS,175,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABORTIONS,176,504,1.91E-08,5.46E-09,6.68E-07,174,0,0,0,0,0,0,0,0,3,12of12inf
ABORTIVE,177,263,9.97E-09,9.92E-09,1.34E-06,157,0,0,0,0,0,0,0,0,3,12of12inf
ABORTIVELY,178,1,3.79E-11,7.08E-11,7.92E-08,1,0,0,0,0,0,0,0,0,4,12of12inf
ABORTS,179,85,3.22E-09,2.86E-09,8.45E-07,69,0,0,0,0,0,0,0,0,2,12of12inf
ABOUND,180,533,2.02E-08,2.53E-08,1.94E-06,479,0,0,0,0,0,0,0,0,2,12of12inf
ABOUNDED,181,26,9.86E-10,1.35E-09,3.35E-07,26,0,0,0,0,0,0,0,0,3,12of12inf
ABOUNDING,182,51,1.93E-09,1.17E-09,2.39E-07,34,0,0,0,0,0,0,0,0,3,12of12inf
ABOUNDS,183,135,5.12E-09,4.43E-09,6.72E-07,123,0,0,0,0,0,0,0,0,2,12of12inf
ABOUT,184,9703139,0.000367787,0.000475349,0.000409733,1086143,0,0,0,0,0,0,0,0,2,12of12inf
ABOUTS,185,30,1.14E-09,1.10E-09,3.14E-07,27,0,0,0,0,0,0,0,0,2,10K_2018
ABOVE,186,11590859,0.00043934,0.000385544,0.000384864,1035366,0,0,0,0,0,0,0,0,2,12of12inf
ABOVEBOARD,187,9,3.41E-10,1.69E-10,6.97E-08,9,0,0,0,0,0,0,0,0,3,12of12inf
ABOVEGROUND,188,7382,2.80E-07,1.97E-07,8.26E-06,4268,0,0,0,0,0,0,0,0,3,10K_2008
ABOVEMENTIONED,189,7872,2.98E-07,3.09E-07,8.55E-06,4686,0,0,0,2011,0,0,0,0,4,10K_2010
ABOVES,190,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABRACADABRA,191,33,1.25E-09,7.39E-10,2.25E-07,28,0,0,0,0,0,0,0,0,5,12of12inf
ABRACADABRAS,192,3,1.14E-10,1.62E-10,1.11E-07,3,0,0,0,0,0,0,0,0,5,12of12inf
ABRADE,193,69,2.62E-09,2.38E-09,4.38E-07,60,0,0,0,0,0,0,0,0,2,12of12inf
ABRADED,194,68,2.58E-09,2.29E-09,5.94E-07,58,0,0,0,0,0,0,0,0,3,12of12inf
ABRADES,195,7,2.65E-10,4.49E-10,1.95E-07,7,0,0,0,0,0,0,0,0,2,12of12inf
ABRADING,196,171,6.48E-09,7.21E-09,1.03E-06,92,0,0,0,0,0,0,0,0,3,12of12inf
ABRASION,197,5384,2.04E-07,1.95E-07,8.16E-06,3049,0,0,0,0,0,0,0,0,3,12of12inf
ABRASIONS,198,756,2.87E-08,2.40E-08,1.84E-06,522,0,0,0,0,0,0,0,0,3,12of12inf
ABRASIVE,199,8244,3.12E-07,3.50E-07,1.71E-05,3143,0,0,0,0,0,0,0,0,3,12of12inf
ABRASIVELY,200,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABRASIVENESS,201,88,3.34E-09,2.07E-09,3.31E-07,71,0,0,0,0,0,0,0,0,4,12of12inf
ABRASIVENESSES,202,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABRASIVES,203,6520,2.47E-07,2.79E-07,2.03E-05,1812,0,0,0,0,0,0,0,0,3,12of12inf
ABREAST,204,9902,3.75E-07,3.29E-07,6.06E-06,8896,0,0,0,0,0,0,0,0,2,12of12inf
ABRIDGE,205,3460,1.31E-07,5.31E-08,1.94E-06,2122,0,0,0,0,0,0,0,0,2,12of12inf
ABRIDGED,206,2416,9.16E-08,5.55E-08,2.39E-06,1903,0,0,0,0,0,0,0,0,2,12of12inf
ABRIDGEMENT,207,535,2.03E-08,9.32E-09,8.23E-07,331,0,0,0,0,0,0,0,0,3,12of12inf
ABRIDGEMENTS,208,63,2.39E-09,1.42E-09,3.47E-07,57,0,0,0,0,0,0,0,0,3,12of12inf
ABRIDGES,209,71,2.69E-09,1.41E-09,2.79E-07,55,0,0,0,0,0,0,0,0,3,12of12inf
ABRIDGING,210,412,1.56E-08,6.21E-09,6.41E-07,298,0,0,0,0,0,0,0,0,3,12of12inf
ABRIDGMENT,211,513,1.94E-08,1.20E-08,1.29E-06,389,0,0,0,0,0,0,0,0,3,12of12inf
ABRIDGMENTS,212,68,2.58E-09,1.59E-09,3.24E-07,50,0,0,0,0,0,0,0,0,3,12of12inf
ABROAD,213,230466,8.74E-06,6.20E-06,2.89E-05,114848,0,0,0,0,0,0,0,0,2,12of12inf
ABROGATE,214,7105,2.69E-07,1.41E-07,3.93E-06,4412,2009,0,0,2009,0,0,0,0,3,12of12inf
ABROGATED,215,2208,8.37E-08,5.28E-08,2.69E-06,1523,2009,0,0,2009,0,0,0,0,4,12of12inf
ABROGATES,216,437,1.66E-08,1.04E-08,1.15E-06,291,2009,0,0,2009,0,0,0,0,3,12of12inf
ABROGATING,217,496,1.88E-08,1.21E-08,8.64E-07,442,2009,0,0,2009,0,0,0,0,4,12of12inf
ABROGATION,218,1950,7.39E-08,4.28E-08,2.16E-06,1422,2009,0,0,2009,0,0,0,0,4,12of12inf
ABROGATIONS,219,2,7.58E-11,5.86E-12,6.55E-09,1,2009,0,0,2009,0,0,0,0,4,12of12inf
ABROGATOR,220,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABROGATORS,221,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABRUPT,222,8066,3.06E-07,3.14E-07,7.12E-06,6616,2009,0,0,0,0,0,0,0,2,12of12inf
ABRUPTER,223,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABRUPTEST,224,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABRUPTLY,225,3483,1.32E-07,1.42E-07,4.74E-06,2926,2009,0,0,0,0,0,0,0,3,12of12inf
ABRUPTNESS,226,9,3.41E-10,3.96E-10,1.81E-07,9,2009,0,0,0,0,0,0,0,3,12of12inf
ABRUPTNESSES,227,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABS,228,309800,1.17E-05,9.83E-06,0.000156855,21696,0,0,0,0,0,0,0,0,1,12of12inf
ABSCESS,229,511,1.94E-08,1.29E-08,1.59E-06,301,0,0,0,0,0,0,0,0,2,12of12inf
ABSCESSED,230,2,7.58E-11,1.86E-10,1.79E-07,2,0,0,0,0,0,0,0,0,2,12of12inf
ABSCESSES,231,322,1.22E-08,6.51E-09,6.06E-07,245,0,0,0,0,0,0,0,0,3,12of12inf
ABSCESSING,232,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABSCISSA,233,9,3.41E-10,2.81E-10,1.26E-07,8,0,0,0,0,0,0,0,0,3,12of12inf
ABSCISSAE,234,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
